Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
TPOR,Direxion Daily Transportation Bull 3X ETF,"$20,738",36.64%,"22,569",$40.85,-1.64%,4.40%,-7.47%,63.29%,8.07%,3.09%,"-$142,700.00","$2,016,300.00","$2,016,300.00","-$2,867,200.00","-$17,204,800.00","-$92,423,100.00",Leveraged Equities,2017-05-03,0.99%,N/A,$0.23,2026-06-23,$0.05,0.55%,0.00,3.64,44,77.40%,40%,20%,1099,$38.86,$46.72,$40.48,$41.54,48.61,C+,B-,N/A,C,C+,A-,N/A,6.54,71.15%,50.06%,279.71,0.00%,0.00%
UBRL,GraniteShares 2x Long UBER Daily ETF,"$20,551",-34.17%,"206,095",$13.97,6.48%,-0.33%,-11.59%,-48.78%,N/A,N/A,"$1,408,600.00","$2,429,200.00","$2,505,700.00","$11,618,500.00","$26,355,000.00","$26,355,000.00",Leveraged Equities,2024-09-03,1.15%,N/A,$2.22,2025-12-29,$2.22,15.86%,0.00,1.30,1,100.00%,40%,20%,1099,$12.57,$16.25,$13.36,$14.43,46.68,B+,A-,N/A,A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MEXX,Direxion Daily MSCI Mexico Bull 3X ETF,"$19,701",19.11%,"18,444",$29.51,0.03%,-1.64%,8.21%,74.21%,1.84%,12.90%,"-$2,537,400.00",$0.00,$0.00,"-$7,837,900.00","$2,425,850.00","-$17,776,519.57",Leveraged Equities,2017-05-03,1.23%,N/A,$0.41,2026-06-23,$0.23,1.40%,0.00,2.40,2,100.00%,40%,20%,1099,$27.13,$30.63,$29.01,$30.37,51.06,A-,B,N/A,A-,B,A,N/A,5.56,25.69%,24.81%,193.53,0.00%,3.02%
KPDD,KraneShares 2x Long PDD Daily ETF,"$19,464",-44.69%,"336,623",$6.36,-0.31%,7.51%,10.40%,-68.69%,N/A,N/A,"$19,340,737.65","-$3,328,027.71","-$5,568,959.76","$32,135,562.25","$37,267,512.78","$37,267,512.78",Leveraged Equities,2025-03-11,1.26%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.33,3,100.00%,40%,20%,1099,$5.15,$6.44,$6.23,$6.43,57.03,N/A,A-,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XMAY,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - May,"$19,233",5.04%,"3,619",$36.63,-0.08%,1.33%,1.19%,8.90%,N/A,N/A,"-$2,615,775.00",$0.00,$0.00,"-$4,341,625.00","$14,950,350.00","$14,950,350.00",Leveraged Equities,2024-05-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.23,2,100.00%,40%,20%,1099,$35.83,$36.65,$36.63,$36.63,63.26,C+,C+,N/A,B,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
COYY,GraniteShares YieldBOOST COIN ETF,"$18,681",-33.61%,"28,304",$16.71,-1.07%,-5.01%,-3.95%,-55.16%,N/A,N/A,"-$5,400,412.15",$0.00,"$169,700.00","$152,771,187.85","$163,245,587.85","$163,245,587.85",Leveraged Equities,2025-07-28,1.07%,N/A,$3.34,2026-07-31,$0.25,19.96%,0.00,-1.59,4,100.00%,40%,20%,1099,$16.78,$18.08,$16.65,$16.81,37.37,N/A,N/A,N/A,N/A,N/A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RIOX,Defiance Daily Target 2X Long RIOT ETF,"$17,938",40.19%,"197,373",$29.65,-3.42%,-9.88%,-14.77%,-30.59%,N/A,N/A,"-$10,445,275.64","$10,164.00","$673,408.00","-$22,577,837.64","$4,906,860.36","$4,906,860.36",Leveraged Equities,2025-01-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,10.78,3,100.00%,40%,20%,1099,$23.34,$39.46,$27.35,$32.62,43.67,N/A,A-,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QQQP,Tradr 2X Long Innovation 100 Quarterly ETF,"$17,130",24.46%,"1,978",$218.05,-1.05%,9.70%,-2.82%,41.76%,N/A,N/A,"-$1,530,057.50","-$2,012,705.00","-$2,012,705.00","$72,082.00","$8,001,551.16","$8,001,551.16",Leveraged Equities,2024-09-30,1.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.60,3,100.00%,40%,20%,1099,$188.84,$230.34,$217.69,$218.50,52.34,N/A,B,N/A,N/A,A-,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AAPB,GraniteShares 2x Long AAPL Daily ETF,"$16,900",20.69%,"73,548",$38.70,0.60%,-13.16%,-4.16%,88.14%,22.67%,N/A,"-$14,815,300.00","$61,300.00","-$952,100.00","-$35,507,900.00","-$12,504,600.00","-$9,486,373.86",Leveraged Equities,2022-08-09,1.15%,N/A,$1.41,2025-12-29,$1.41,3.64%,0.00,1.90,1,100.00%,40%,20%,1099,$36.01,$47.68,$37.89,$39.61,48.04,B-,B+,N/A,C+,B,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XTJL,Innovator U.S. Equity Accelerated Plus ETF - July,"$16,828",8.24%,"8,214",$42.08,-0.12%,2.58%,2.09%,14.80%,15.21%,9.86%,"-$3,143,680.00","$3,155,332.50","$3,155,332.50","$3,417,255.00","-$3,155,130.00","$4,619,120.00",Leveraged Equities,2021-06-30,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.73,3,100.00%,40%,20%,1099,$40.40,$42.10,$42.04,$42.15,64.41,B-,C+,N/A,B,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UPW,ProShares Ultra Utilities,"$16,499",0.17%,"15,758",$21.61,-1.59%,-6.29%,-8.40%,-0.74%,18.04%,7.58%,"$1,771,834.00","$224,542.00","-$16,608.00","$661,468.00","$133,611.00","-$7,875,797.50",Leveraged Equities,2007-01-30,0.95%,N/A,$0.27,2026-06-24,$0.10,1.26%,0.00,1.15,32,66.72%,40%,20%,1099,$21.88,$25.29,$21.45,$21.87,37.23,B+,C+,N/A,B-,A-,A-,A-,7.28,88.14%,79.84%,1772.65,47.42%,7.38%
GMEU,T-REX 2X Long GME Daily Target ETF,"$14,944",-31.80%,"292,228",$5.94,2.41%,-24.91%,-26.76%,-55.87%,N/A,N/A,"$3,348,284.00","-$908,834.00","-$3,740,640.00","$3,998,176.00","$42,937,181.00","$42,937,181.00",Leveraged Equities,2025-04-24,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.48,2,100.00%,40%,20%,1099,$5.86,$9.21,$5.67,$6.13,33.00,N/A,A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TARK,AXS 2X Innovation ETF Fund,"$14,456",-14.99%,"16,288",$41.27,-1.20%,7.22%,-15.07%,-32.87%,3.17%,N/A,"-$8,863,621.00",$0.00,"-$2,087,878.00","-$11,656,779.50","-$77,594,356.00","-$33,014,932.46",Leveraged Equities,2022-05-02,1.48%,N/A,$0.00,2024-12-23,$0.26,0.00%,0.00,3.93,2,100.00%,40%,20%,1099,$34.51,$47.92,$40.87,$41.87,48.05,B,B,N/A,A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UPV,ProShares Ultra FTSE Europe,"$14,248",18.26%,"1,009",$105.51,-0.12%,1.82%,7.34%,40.52%,27.22%,9.39%,"$2,186,554.00",$0.00,"-$2,950,497.00","$2,029,630.00","$4,834,531.00","$5,390,145.00",Leveraged Equities,2010-04-29,0.95%,N/A,$2.21,2026-06-24,$0.50,2.10%,0.00,1.67,2,100.00%,40%,20%,1099,$94.50,$105.99,$105.39,$105.57,60.87,B+,C,N/A,B,A,A-,B,0.0,N/A,N/A,N/A,N/A,N/A
SPYQ,Tradr 2X Long SPY Quarterly ETF,"$14,158",21.09%,"13,291",$196.07,-0.37%,7.17%,4.04%,37.40%,N/A,N/A,"-$3,144,876.00","-$954,208.50","-$1,904,136.00","-$2,324,982.00","$5,006,651.32","$5,006,651.32",Leveraged Equities,2024-09-30,1.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.99,3,100.00%,40%,20%,1099,$176.94,$197.01,$195.69,$196.82,60.55,N/A,B-,N/A,N/A,A-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MST,Defiance Leveraged Long Income MSTR ETF,"$14,047",-72.09%,"94,900",$8.35,-1.76%,-0.16%,4.70%,-94.90%,N/A,N/A,"$24,009,630.84","$418,905.00","$625,850.00","$39,514,380.57","$192,310,363.07","$192,310,363.07",Leveraged Equities,2025-05-01,1.91%,N/A,$3.36,2026-07-01,$0.07,40.17%,0.00,5.25,6,100.00%,40%,20%,1099,$7.50,$8.98,$8.15,$8.55,41.35,N/A,A-,N/A,N/A,N/A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EZJ,ProShares Ultra MSCI Japan,"$13,366",30.88%,"3,380",$66.88,0.00%,4.15%,2.97%,53.39%,26.94%,8.81%,"$4,548,980.00",$0.00,"-$665,247.00","$4,600,486.00","$554,174.00","$8,147,655.00",Leveraged Equities,2009-06-04,1.17%,N/A,$1.21,2026-06-24,$0.33,1.82%,0.00,1.37,3,100.00%,40%,20%,1099,$58.61,$67.93,$66.78,$67.08,56.19,B,C+,N/A,B,A-,B+,C+,6.75,76.28%,58.70%,66.44,3.02%,1.64%
DJTU,T-REX 2X Long DJT Daily Target ETF,"$13,211",-62.88%,"79,224",$14.59,-2.73%,-10.66%,26.87%,-82.63%,N/A,N/A,"$6,807,723.33","$570,002.00","-$317,515.67","$25,325,596.33","$40,023,855.33","$40,023,855.33",Leveraged Equities,2025-03-04,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.39,2,100.00%,40%,20%,1099,$11.14,$16.72,$14.05,$14.92,53.51,N/A,A,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GOU,GraniteShares 2x Long GOOGL Daily ETF,"$12,870",14.48%,"80,950",$27.96,-2.20%,14.40%,-3.06%,N/A,N/A,N/A,"$10,614,400.00","-$2,575,200.00","$1,737,200.00","$11,353,800.00","$11,353,800.00","$11,353,800.00",Leveraged Equities,2025-12-02,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,-6.73,1,100.00%,40%,20%,1099,$22.02,$31.94,N/A,N/A,49.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HOOX,Defiance Daily Target 2X Long HOOD ETF,"$12,339",-57.74%,"94,820",$26.20,-4.59%,7.40%,-40.62%,-67.32%,N/A,N/A,"$3,784,800.34","$561,226.00","-$758,060.00","-$6,193,815.66","$62,931.84","$62,931.84",Leveraged Equities,2025-03-18,1.29%,N/A,$0.00,N/A,N/A,0.00%,0.00,6.70,3,100.00%,40%,20%,1099,$19.76,$45.03,$25.80,$26.86,43.50,N/A,B,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UXJA,FT Vest U.S. Equity Uncapped Accelerator ETF - January,"$11,765",13.76%,"1,911",$39.17,-0.38%,4.27%,2.52%,23.80%,N/A,N/A,"$3,359,550.00",$0.00,"-$1,903,750.00","$5,057,150.00","$9,547,100.00","$9,547,100.00",Leveraged Equities,2025-01-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.09,2,100.00%,40%,20%,1099,$36.80,$39.36,$39.14,$39.24,60.76,N/A,C+,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UXAP,FT Vest U.S. Equity Uncapped Accelerator ETF - April,"$11,070",13.48%,"2,009",$44.20,-0.41%,4.10%,2.39%,23.24%,N/A,N/A,"$2,074,000.00",$0.00,"$2,159,600.00","$177,850.00","$7,810,650.00","$7,810,650.00",Leveraged Equities,2025-04-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.15,2,100.00%,40%,20%,1099,$41.61,$44.44,$44.16,$44.29,60.19,N/A,C,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MLPR,ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN,"$11,042",28.33%,527,$74.91,1.57%,0.78%,3.76%,25.32%,18.59%,19.65%,$0.00,$0.00,$0.00,"-$2,903,125.00","-$48,971,420.00","-$48,971,420.00",Leveraged Equities,2020-06-02,1.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.74,0,N/A,40%,20%,1099,$70.93,$76.40,$74.79,$75.14,55.81,C+,C,N/A,C+,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TSL,GraniteShares 1.25x Long TSLA Daily ETF ,"$10,983",-37.32%,"775,583",$11.72,-0.85%,4.75%,-26.56%,-6.60%,-0.32%,N/A,"-$10,407,100.00","$2,011,600.00","$1,479,200.00","$1,712,600.00","$3,381,100.00","$8,567,025.41",Leveraged Equities,2022-08-09,1.15%,N/A,$0.00,2023-12-27,$6.66,0.00%,0.00,1.95,1,100.00%,40%,20%,1099,$9.44,$16.80,$11.56,$11.88,37.92,B,B+,N/A,A-,C+,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PDDL,GraniteShares 2x Long PDD Daily ETF,"$10,856",-45.89%,"49,431",$15.24,-0.33%,8.06%,9.69%,-50.01%,N/A,N/A,"$9,949,800.00","-$458,700.00","-$1,020,900.00","$15,617,300.00","$15,617,300.00","$15,617,300.00",Leveraged Equities,2025-07-15,1.50%,N/A,$0.09,2025-12-29,$0.09,0.62%,0.00,5.32,1,100.00%,40%,20%,1099,$12.40,$15.45,$14.97,$15.38,56.32,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UCYB,ProShares Ultra Nasdaq Cybersecurity ETF,"$10,648",66.21%,"5,444",$86.53,-2.70%,13.66%,3.38%,53.64%,46.77%,14.96%,"$2,944,266.00","$2,682,720.00","$1,817,185.00","$2,967,930.00","$3,428,768.00","$3,783,561.84",Leveraged Equities,2021-01-19,0.95%,N/A,$1.21,2026-06-24,$0.25,1.39%,0.00,1.88,1,100.00%,40%,20%,1099,$69.59,$88.98,$84.72,$87.58,62.14,B+,C,N/A,A-,B+,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UCC,ProShares Ultra Consumer Discretionary,"$10,441",-7.33%,"4,117",$48.10,-1.17%,10.20%,1.34%,3.00%,12.65%,-0.80%,"-$3,200,126.00","-$482,317.00","-$482,317.00","-$8,182,791.00","-$10,575,831.00","-$12,993,094.75",Leveraged Equities,2007-01-30,0.95%,N/A,$0.60,2026-06-24,$0.15,1.24%,0.00,2.23,48,77.64%,40%,20%,1099,$41.17,$50.40,$47.84,$48.43,54.19,B+,C+,N/A,B+,B+,B,A,5.72,38.74%,28.05%,56.89,13.64%,0.34%
RVNL,GraniteShares 2x Long RIVN Daily ETF,"$10,303",-58.37%,"93,531",$23.54,-1.96%,-17.32%,-30.07%,-5.27%,N/A,N/A,"$5,501,900.00","-$213,400.00","-$1,902,600.00","$5,783,600.00","$9,541,700.00","$9,541,700.00",Leveraged Equities,2025-04-21,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.73,1,100.00%,40%,20%,1099,$22.27,$34.23,$23.07,$24.41,44.05,N/A,B+,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
YSPY,GraniteShares YieldBOOST SPY ETF,"$10,207",2.11%,"20,509",$14.99,0.00%,0.55%,1.41%,13.84%,N/A,N/A,"-$8,154,700.00","-$449,100.00","-$1,344,300.00","$8,404,700.00","$15,603,000.00","$15,603,000.00",Leveraged Equities,2025-02-26,1.15%,N/A,$6.70,2026-07-31,$0.03,44.71%,0.00,1.24,4,100.00%,40%,20%,1099,$14.72,$15.03,$14.94,$15.05,58.65,N/A,B+,N/A,N/A,A-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RGTU,Tradr 2X Long RGTI Daily ETF,"$10,152",-71.79%,"221,275",$12.73,-2.97%,22.37%,-13.25%,-90.95%,N/A,N/A,"$11,213,046.19","-$518,727.00","$625,889.50","$33,118,123.20","$34,009,570.70","$34,009,570.70",Leveraged Equities,2025-06-23,1.30%,N/A,$0.00,N/A,N/A,0.00%,0.00,11.62,2,100.00%,40%,20%,1099,$8.59,$14.28,$11.94,$13.53,45.87,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UGE,ProShares Ultra Consumer Staples,"$10,134",16.87%,"55,561",$19.36,-0.67%,-1.12%,3.88%,5.73%,5.96%,-2.61%,"$349,709.00","-$1,937,120.00","-$636,770.00","-$561,857.00","$1,009,162.00","-$1,987,443.88",Leveraged Equities,2007-01-30,0.95%,N/A,$0.40,2026-06-24,$0.12,2.09%,0.00,1.32,35,83.15%,40%,20%,1099,$18.45,$20.29,$19.15,$19.66,50.76,A-,B-,N/A,C,A,A-,A,6.71,75.89%,57.01%,35.25,6.03%,3.30%
ISUL,GraniteShares 2x Long ISRG Daily ETF,"$9,996",-62.43%,"87,655",$14.16,-0.63%,11.08%,-21.71%,N/A,N/A,N/A,"$13,352,500.00",$0.00,"$5,515,300.00","$13,743,400.00","$13,743,400.00","$13,743,400.00",Leveraged Equities,2025-10-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,-9.23,1,100.00%,40%,20%,1099,$10.18,$17.72,$13.97,$14.43,44.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RBLU,T-REX 2X Long RBLX Daily Target ETF,"$9,949",-88.88%,"427,759",$3.24,-0.92%,-53.31%,-65.75%,-96.70%,N/A,N/A,"$17,780,642.00","$6,239,925.00","$5,571,849.00","$30,171,178.00","$32,542,688.00","$32,542,688.00",Leveraged Equities,2025-03-04,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.25,2,100.00%,40%,20%,1099,$2.47,$11.11,N/A,N/A,32.65,N/A,B+,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AMYY,GraniteShares YieldBOOST AMD ETF,"$9,248",6.43%,"23,386",$14.57,0.76%,0.89%,-0.85%,N/A,N/A,N/A,"$2,101,600.00","$439,200.00","$608,400.00","$14,717,000.00","$14,717,000.00","$14,717,000.00",Leveraged Equities,2025-09-16,1.07%,N/A,$15.27,2026-07-31,$0.22,104.78%,0.00,-1.32,4,100.00%,40%,20%,1099,$14.23,$14.81,$14.44,$14.65,54.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XPP,ProShares Ultra FTSE China 50,"$8,898",-15.78%,"6,175",$21.84,-0.55%,-2.94%,15.31%,-14.92%,4.32%,-15.19%,"-$5,821,220.00",$0.00,"-$1,641,697.00","-$4,689,737.00","-$4,123,929.00","$1,468,249.00",Leveraged Equities,2009-06-02,0.95%,N/A,$0.54,2026-06-24,$0.13,2.49%,0.00,0.65,2,100.00%,40%,20%,1099,$18.53,$23.13,$21.71,$21.91,58.80,A-,C+,N/A,A,B+,A,B-,0.0,N/A,N/A,N/A,N/A,N/A
SCDL,ETRACS 2x Leveraged U.S. Dividend Factor TR ETN,"$8,816",48.57%,464,$58.82,-0.07%,1.41%,8.45%,59.88%,22.60%,11.72%,$0.00,$0.00,$0.00,"-$2,004,110.00","-$34,534,525.00","-$34,534,525.00",Leveraged Equities,2021-02-04,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.33,0,0.00%,40%,20%,1099,$53.76,$60.62,$58.82,$58.82,60.54,C+,C,N/A,C+,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AAPX,T-Rex 2X Long Apple Daily Target ETF,"$8,551",18.41%,"62,403",$36.09,1.15%,-12.70%,-3.68%,78.93%,N/A,N/A,"-$3,090,549.81",$0.00,"-$2,048,268.16","-$16,024,212.05","-$2,187,259.56","-$2,187,259.56",Leveraged Equities,2024-01-11,1.05%,N/A,$0.00,2024-12-24,$6.93,0.00%,0.00,1.50,2,100.00%,40%,20%,1099,$33.47,$44.26,$35.34,$36.81,48.25,B,B+,N/A,C,B-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FLYU,MicroSectors Travel 3x Leveraged ETN,"$8,530",-4.99%,"1,144",$52.54,-1.79%,8.59%,7.31%,1.24%,8.35%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2022-06-21,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.39,0,N/A,40%,20%,1099,$41.04,$53.95,$52.14,$53.35,57.18,C+,C,N/A,A-,C+,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
KMLI,KraneShares 2x Long MELI Daily ETF,"$8,407",-32.16%,"97,061",$9.36,-11.45%,-7.77%,-0.62%,-58.91%,N/A,N/A,"$3,037,756.68","-$1,548,446.71","-$3,980,824.20","$7,631,558.88","$10,131,772.16","$10,131,772.16",Leveraged Equities,2025-06-11,1.26%,N/A,$0.01,2025-12-30,$0.02,0.16%,0.00,0.68,3,100.00%,40%,20%,1099,$9.06,$10.53,$8.93,$9.73,49.92,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MTUL,ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN,"$8,341",46.03%,"2,081",$55.03,-2.45%,7.80%,-8.32%,52.11%,50.45%,15.96%,$0.00,$0.00,$0.00,"-$1,965,585.00","-$25,710,445.00","-$25,710,445.00",Leveraged Equities,2021-02-05,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.09,0,0.00%,40%,20%,1099,$48.32,$65.05,N/A,N/A,48.80,B-,C,N/A,B+,A-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SMHD,MicroSectors -3x Short Semiconductor ETNs,"$8,104",N/A,N/A,$42.24,-0.35%,N/A,N/A,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2026-08-05,0.70%,N/A,$0.00,2020-02-11,$0.09,0.00%,0.00,0.00,81,35.23%,40%,20%,1099,N/A,N/A,$42.24,$42.24,"",A-,B+,A,C,B+,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MSTP,GraniteShares 2x Long MSTR Daily ETF,"$7,192",-76.04%,"54,675",$13.13,-3.88%,-2.33%,1.65%,-97.02%,N/A,N/A,"$15,352,097.61","-$271,400.00","$22,900.00","$21,793,497.61","$22,489,897.61","$22,489,897.61",Leveraged Equities,2025-06-09,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,5.86,1,100.00%,40%,20%,1099,$11.71,$14.67,$12.79,$13.48,41.41,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ARCX,Tradr 2X Long ACHR Daily ETF,"$7,121",-67.07%,"53,827",$11.80,0.08%,17.64%,7.28%,-85.41%,N/A,N/A,"$1,888,113.50","$117,067.50","$416,699.00","$18,534,065.70","$33,031,733.20","$33,031,733.20",Leveraged Equities,2025-06-09,1.30%,N/A,$0.00,N/A,N/A,0.00%,0.00,5.78,2,100.00%,40%,20%,1099,$8.67,$12.99,$11.34,$12.38,48.41,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QULL,ETRACS 2x Leveraged MSCI US Quality Factor TR ETN,"$7,014",23.94%,135,$70.21,-0.30%,5.42%,5.55%,40.70%,31.87%,15.02%,$0.00,$0.00,$0.00,"-$5,795,520.00","-$44,978,270.00","-$44,978,270.00",Leveraged Equities,2021-02-05,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.00,0,0.00%,40%,20%,1099,$63.74,$70.27,$70.21,$70.21,63.56,C+,C,N/A,B-,A-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SMYY,GraniteShares YieldBOOST SMCI ETF,"$6,949",-9.49%,"32,417",$6.23,-0.48%,0.12%,-4.53%,N/A,N/A,N/A,"$3,897,900.00","-$435,900.00","-$847,500.00","$21,272,600.00","$21,272,600.00","$21,272,600.00",Leveraged Equities,2025-09-30,1.07%,N/A,$13.05,2026-07-31,$0.09,209.39%,0.00,-1.60,4,100.00%,40%,20%,1099,$6.11,$6.56,$6.22,$6.25,38.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IWDL,ETRACS 2x Leveraged US Value Factor TR ETN,"$6,910",42.61%,883,$68.56,-0.85%,3.14%,6.78%,65.78%,31.06%,16.36%,$0.00,$0.00,$0.00,"-$4,898,460.00","-$37,241,395.00","-$37,241,395.00",Leveraged Equities,2021-02-05,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.66,0,0.00%,40%,20%,1099,$62.61,$69.22,$68.26,$69.11,65.07,B-,C,N/A,B-,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BDCX,ETRACS Quarterly Pay 1.5x Leveraged MarketVector BDC Liquid Index ETN,"$6,847",-15.94%,"2,452",$20.50,4.70%,8.32%,2.94%,-26.68%,-13.50%,-11.72%,"$1,058,805.00",$0.00,$0.00,"$1,058,805.00","-$20,773,125.00","-$20,773,125.00",Leveraged Equities,2020-06-02,1.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.89,0,N/A,40%,20%,1099,$18.38,$20.57,$20.17,$20.71,55.71,C+,C,N/A,C,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
JETU,MAX Airlines 3X Leveraged ETNs,"$6,746",28.74%,"5,914",$38.34,-9.36%,4.68%,-0.56%,82.62%,15.83%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2023-06-20,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.34,0,N/A,40%,20%,1099,$31.86,$41.57,$37.52,$39.98,53.55,C,C,N/A,B,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IWML,ETRACS 2x Leveraged US Size Factor TR ETN,"$6,689",40.55%,428,$32.95,-1.58%,3.48%,-0.07%,72.46%,22.35%,5.13%,$0.00,$0.00,$0.00,"-$2,443,490.00","-$17,530,720.00","-$17,530,720.00",Leveraged Equities,2021-02-04,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.23,0,0.00%,40%,20%,1099,$30.83,$33.53,$32.95,$32.95,54.75,C,C,N/A,B-,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
NUGY,GraniteShares YieldBOOST Gold Miners ETF,"$6,565",-6.37%,"15,520",$13.15,0.15%,0.90%,0.65%,N/A,N/A,N/A,"$8,082,600.00","-$131,300.00","-$531,200.00","$15,209,600.00","$15,209,600.00","$15,209,600.00",Leveraged Equities,2025-11-18,1.07%,N/A,$11.83,2026-07-31,$0.16,89.96%,0.00,-1.12,4,100.00%,40%,20%,1099,$12.79,$13.20,N/A,N/A,51.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
